maximum_nights,extra_people,guests_included,beds,availability_365,accommodates,bedrooms,host_listings_count,host_for,number_of_reviews_ltm,minimum_nights,bathrooms,secure,cleaning_fee,room_type_private_room,host_acceptance_rate,elevator,white_goods,host_response_rate,security_deposit,government,review_scores_value,area_name_salamanca,area_name_san_blas,price
15,0.0,1,1.0,3,2,1.0,2.0,2968,51,3,1.0,0.0,1.0,1,4.0,1.0,0.0,4.0,0.0,1.0,10.0,0,0,45.0
300,0.0,1,3.0,0,3,2.0,2.0,3040,0,20,1.0,0.0,0.0,0,4.0,1.0,1.0,4.0,0.0,1.0,9.0,0,0,70.0
365,15.0,4,4.0,141,5,2.0,3.0,2980,21,2,1.0,0.0,1.0,0,4.0,1.0,1.0,4.0,1.0,1.0,9.0,0,0,100.0
90,0.0,1,1.0,311,2,1.0,1.0,2960,75,2,1.5,0.0,0.0,1,4.0,1.0,0.0,4.0,0.0,1.0,9.0,0,0,49.0
1125,15.0,2,2.0,50,3,1.0,1.0,2955,10,2,1.0,0.0,1.0,0,4.0,1.0,1.0,4.0,1.0,1.0,9.0,0,0,80.0
1125,9.0,2,3.0,115,3,1.0,9.0,2983,17,2,1.5,0.0,1.0,1,4.0,1.0,1.0,4.0,0.0,1.0,9.0,0,0,33.0
31,0.0,4,2.0,87,4,0.0,0.0,2953,3,1,1.0,0.0,1.0,0,4.0,1.0,1.0,4.0,1.0,1.0,9.0,0,0,76.0
365,20.0,1,0.0,144,2,1.0,4.0,2952,15,6,1.5,0.0,0.0,1,4.0,1.0,1.0,4.0,0.0,1.0,10.0,0,0,25.0
1124,0.0,1,7.0,309,10,4.0,7.0,2966,0,3,3.0,0.0,1.0,0,2.0,1.0,1.0,4.0,1.0,1.0,10.0,0,0,240.0
365,20.0,1,1.0,172,2,1.0,3.0,2952,4,3,1.0,0.0,1.0,0,4.0,0.0,1.0,4.0,1.0,1.0,9.0,0,0,50.0
365,15.0,1,2.0,0,2,2.0,2.0,2951,4,2,2.5,0.0,0.0,1,3.0,0.0,1.0,4.0,0.0,0.0,10.0,0,0,30.0
18,20.0,2,2.0,361,3,1.0,1.0,2940,9,2,1.0,0.0,1.0,0,3.0,1.0,1.0,4.0,0.0,0.0,10.0,0,0,85.0
365,11.0,2,1.0,277,2,1.0,54.0,3067,8,3,1.0,0.0,1.0,0,4.0,1.0,1.0,4.0,1.0,1.0,8.0,0,0,77.0
90,12.0,2,2.0,254,3,1.0,2.0,2914,33,3,1.0,0.0,1.0,0,4.0,1.0,1.0,4.0,1.0,1.0,9.0,0,0,54.0
365,11.0,2,2.0,309,2,0.0,54.0,3067,10,3,1.0,0.0,1.0,0,4.0,1.0,1.0,4.0,1.0,1.0,8.0,0,0,66.0
365,11.0,2,1.0,223,4,1.0,54.0,3067,24,3,1.0,0.0,1.0,0,4.0,1.0,1.0,4.0,1.0,1.0,9.0,0,0,92.0
365,11.0,2,1.0,305,3,1.0,54.0,3067,15,3,1.0,0.0,1.0,0,4.0,1.0,1.0,4.0,1.0,1.0,8.0,0,0,90.0
365,0.0,2,1.0,365,4,1.0,7.0,2966,0,90,1.0,0.0,1.0,0,2.0,1.0,1.0,4.0,1.0,1.0,9.0,0,0,50.0
365,11.0,2,3.0,48,6,2.0,54.0,3067,1,5,1.0,0.0,1.0,0,4.0,0.0,1.0,4.0,1.0,1.0,9.0,0,0,85.0
180,12.0,1,2.0,120,1,1.0,1.0,2933,16,3,1.5,0.0,0.0,1,4.0,1.0,1.0,4.0,0.0,1.0,10.0,1,0,24.0
150,12.0,2,1.0,0,3,1.0,1.0,2941,2,2,1.0,0.0,1.0,0,4.0,1.0,1.0,4.0,1.0,1.0,9.0,0,0,56.0
60,0.0,2,2.0,262,4,0.0,7.0,2930,26,3,1.0,0.0,1.0,0,4.0,1.0,0.0,4.0,1.0,1.0,9.0,0,0,155.0
15,20.0,1,2.0,358,2,1.0,1.0,2928,15,2,1.0,0.0,1.0,1,4.0,0.0,1.0,4.0,1.0,1.0,10.0,0,0,48.0
365,11.0,2,1.0,284,2,0.0,54.0,3067,11,3,1.0,0.0,1.0,0,4.0,1.0,1.0,4.0,1.0,1.0,9.0,0,0,66.0
